SN,m15B,Em15B,B,EB,V,Ev,i,Ei,Rv,E(B-V)
2004ef,1.379,0.01,-18.78,0.02,-18.92,0.02,-18.48,0.161,0.1242,0.046
2004eo,1.365,0.03,-18.99,0.035,-19.05,0.041,-18.68,0.094,0.1152,0.128
2004ey,0.93,0.01,-19.3,0.031,-19.23,0.039,-18.61,0.092,0.0589,0.019
2004gu,0.89,0.14,-19.18,0.051,-19.43,0.046,-18.97,0.274,0.2016,0.096
2005al,1.166,0.02,-18.93,0.033,-18.89,0.021,,,0.0792,0.022
2005el,1.348,0.02,-19.22,0.033,-19.2,0.019,-18.97,0.274,0.0525,0.015
2005hc,0.912,0.01,-19.25,0.052,-19.27,0.033,,,0.1862,0.049
2005iq,1.25,0.07,-19.06,0.054,-19.05,0.031,-18.67,0.175,0.144,0.04
2005kc,1.2,0.02,-19.21,0.037,-19.9,0.52,-21.12,0.093,1.364,0.31
2005ki,1.371,0.02,-19.17,0.044,-19.17,0.018,-18.6,0.111,0.0544,0.016
2005na,0.94,0.11,-19.41,0.077,-19.39,0.04,,,0.1525,0.061
2006D,1.388,0.02,-18.79,0.031,-18.81,0.031,-18.92,0.062,0.335,0.134
2006ax,1.016,0.012,-19.43,0.043,-19.41,0.0186,-18.78,0.098,0.0464,0.016
2006bh,1.428,0.007,-18.97,0.038,-18.92,0.0184,-18.61,0.064,0.1406,0.037
2006et,0.847,,-19.16,0.0327,-19.36,0.0321,-19.52,0.123,0.4826,0.254
2006kf,1.583,0.008,-19.03,0.0517,-19,0.044,-18.66,0.089,0.1312,0.032
2006ob,1.45,0.1,-18.91,0.052,-18.98,0.109,,,0.189,0.045
2007A,0.924,0.034,-18.93,0.036,-19.23,0.055,-19.65,0.093,0.6475,0.259
2007af,1.203,0.01,-18.88,0.038,-19.2,0.051,-19.09,0.047,0.3738,0.178
2007bd,1.234,0.012,-19.19,0.044,-19.25,0.032,-18.85,0.044,0.1218,0.058
2007le,0.971,0.016,-18.78,0.0319,-19.24,0.03,-19.54,0.057,0.6596,0.388
2007on,1.86,0.02,-18.6,0.0077,-18.69,0.0066,-18.3,0.021,0.0245,0.007
2008bc,0.823,0.019,-19.56,0.0073,-19.51,0.013,-18.78,0.054,0.0589,0.019
2008gp,0.97,0.1,-19.34,0.053,-19.47,0.052,-18.75,0.192,0.0686,0.098
